name,slug,city,state,country,latitude,longitude,website,type,total_enrollment,undergraduate_enrollment,acceptance_rate,average_sat,average_act,tuition_in_state,tuition_out_state,room_and_board,books_supplies,graduation_rate,retention_rate,avg_net_price,percent_receiving_aid,student_faculty_ratio,pcip01,pcip03,pcip04,pcip05,pcip09,pcip10,pcip11,pcip12,pcip13,pcip14,pcip15,pcip16,pcip19,pcip22,pcip23,pcip24,pcip25,pcip26,pcip27,pcip29,pcip30,pcip31,pcip38,pcip39,pcip40,pcip41,pcip42,pcip43,pcip44,pcip45,pcip46,pcip47,pcip48,pcip49,pcip50,pcip51,pcip52,pcip54
Indiana Institute of Technology,indiana-institute-of-technology,Fort Wayne,IN,USA,41.078365,-85.116479,https://www.indianatech.edu/,Private Non-Profit,1361,1361,56.89,,,30446,30446,12579,,31.39,65.83,,76.98,16.0,0.0,0.0,0.0,0.0,1.75,0.0,12.66,0.0,0.87,22.27,0.87,0.0,1.31,0.0,0.0,0.87,0.0,0.44,0.0,0.0,0.0,4.37,0.0,0.0,0.0,0.0,6.55,9.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11,32.31,0.0
Lenoir-Rhyne University,lenoir-rhyne-university,Hickory,NC,USA,35.739968,-81.327598,https://www.lr.edu/,Private Non-Profit,1348,1348,80.68,,,30900,30900,12900,1360,51.05,71.05,,55.72,15.0,0.0,2.1,0.0,0.0,2.1,0.0,3.59,0.0,8.08,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,5.99,0.6,0.0,0.0,11.98,1.2,0.3,3.29,0.0,6.29,1.5,3.59,3.59,0.0,0.0,0.0,0.0,2.99,18.56,21.86,1.5
Albion College,albion-college,Albion,MI,USA,42.245049,-84.745639,https://www.albion.edu/,Private Non-Profit,1347,1347,83.16,,,55746,55746,12570,850,57.09,68.9,,66.55,11.0,0.0,1.77,0.0,1.06,7.77,0.0,0.35,0.0,7.07,0.71,0.0,1.41,0.0,0.0,3.89,0.0,0.0,15.55,0.35,0.0,0.35,10.95,0.71,0.0,4.24,0.0,8.48,0.0,0.71,14.13,0.0,0.0,0.0,0.0,2.83,0.71,15.9,1.06
Centre College,centre-college,Danville,KY,USA,37.645709,-84.779392,https://www.centre.edu/,Private Non-Profit,1346,1346,54.34,1345,30,50550,50550,13770,1200,85.29,87.5,,44.73,10.0,0.0,2.44,0.0,0.0,0.0,0.0,3.83,0.0,0.0,0.0,0.0,5.57,0.0,0.0,5.92,1.05,0.0,13.59,4.88,0.0,8.71,0.0,0.35,0.0,3.14,0.0,12.54,0.0,0.0,29.62,0.0,0.0,0.0,0.0,3.48,0.0,0.0,4.88
Bryn Mawr College,bryn-mawr-college,Bryn Mawr,PA,USA,40.02736,-75.313223,https://www.brynmawr.edu/,Private Non-Profit,1346,1346,31.06,1404,,62560,62560,18690,1000,85.59,89.65,,47.76,8.0,0.0,3.17,0.0,1.59,0.0,0.0,5.71,0.0,0.0,0.0,0.0,6.98,0.0,0.0,8.89,0.0,0.0,15.56,7.94,0.0,4.44,0.0,2.86,0.0,6.98,0.0,8.89,0.0,0.0,21.59,0.0,0.0,0.0,0.0,2.86,0.0,0.0,2.54
Mount Vernon Nazarene University,mount-vernon-nazarene-university,Mount Vernon,OH,USA,40.372901,-82.471074,https://www.mvnu.edu/,Private Non-Profit,1346,1346,84.3,1119,22,35524,35524,9996,1400,63.64,79.86,,56.57,12.0,0.0,0.0,0.0,0.0,2.79,0.0,1.4,0.0,19.27,1.96,0.0,0.0,0.0,0.0,0.56,3.63,0.0,7.82,1.96,0.0,0.0,6.42,0.28,6.15,1.12,0.0,3.07,1.96,7.82,0.0,0.0,0.0,0.0,0.0,2.23,11.17,20.11,0.28
Southwest Baptist University,southwest-baptist-university,Bolivar,MO,USA,37.602425,-93.407056,https://www.sbuniv.edu/,Private Non-Profit,1339,1339,99.72,1084,22,28320,28320,8952,1500,51.21,66.42,,47.06,10.0,0.0,0.0,0.0,0.0,0.7,0.0,6.29,0.0,10.96,0.0,0.0,0.0,0.0,0.0,0.7,2.1,0.0,2.1,1.17,0.0,0.0,10.72,0.0,2.8,0.7,0.0,6.29,1.4,1.86,0.0,0.0,0.0,0.0,0.0,0.7,42.42,8.62,0.47
Concordia University-Chicago,concordia-university-chicago,River Forest,IL,USA,41.898696,-87.809482,https://www.cuchicago.edu/,Private Non-Profit,1337,1337,93.36,,,36258,36258,11140,1200,47.4,62.55,,58.58,13.0,0.0,0.0,0.0,0.0,2.38,0.0,2.68,0.0,15.48,0.0,0.0,1.49,0.0,0.0,1.19,0.0,0.0,3.57,0.3,0.0,0.89,25.3,0.0,2.68,0.3,0.0,9.23,0.0,2.08,6.25,0.0,0.0,0.0,0.0,2.68,7.14,15.77,0.6
Carlow University,carlow-university,Pittsburgh,PA,USA,40.439293,-79.963448,https://www.carlow.edu/,Private Non-Profit,1336,1336,87.1,,23,34502,34502,13406,2000,55.19,77.72,,68.4,12.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,1.57,2.76,0.0,9.84,0.0,0.0,0.39,0.0,0.0,0.0,0.79,0.0,6.3,0.0,1.97,3.94,0.0,0.0,0.0,0.0,1.57,43.7,12.6,0.39
West Virginia State University,west-virginia-state-university,Institute,WV,USA,38.380541,-81.765034,https://www.wvstateu.edu/,Public,1328,1328,96.37,979,,9049,14623,12936,1309,33.51,63.24,10191,15.71,12.0,0.0,0.0,0.0,0.0,2.52,0.0,1.08,0.0,8.99,0.0,0.0,0.0,0.0,0.0,2.16,12.23,0.0,4.68,0.36,0.0,0.36,7.55,0.0,0.0,1.44,0.0,3.96,8.99,4.68,4.68,0.0,0.0,0.0,0.0,2.16,5.76,26.62,1.8
